id	x	y
5089	-92.663765	36.279132
5091	-93.983938	33.399318
5093	-89.997208	35.841502
5095	-91.21653	34.778426
5097	-93.62381	34.52581
5099	-93.355591	33.725009
5101	-93.177083	35.982065
5103	-92.838638	33.574532
5105	-92.78767	34.998416
5107	-90.711976	34.523138
5109	-93.624521	34.178523
5111	-90.559801	35.600236
5113	-94.261495	34.5167
5115	-93.095233	35.312106
5117	-91.531142	34.85759
5119	-92.304727	34.773922
5121	-90.986928	36.30763
5123	-90.767132	35.018024
5125	-92.545406	34.591552
5127	-94.093674	34.906231
5129	-92.659995	35.929202
5131	-94.355169	35.317749
5133	-94.298395	34.012856
5135	-91.521214	36.173767
5137	-92.142109	35.858255
5139	-92.638859	33.205726
5141	-92.422609	35.569198
5143	-94.173691	36.088757
5145	-91.758188	35.250341
5147	-91.246384	35.224719
5149	-93.29615	35.113471
6001	-122.1044	37.705235
6003	-119.890081	38.688942
6005	-120.756538	38.402394
6007	-121.706306	39.672615
6009	-120.616572	38.174944
6011	-122.091665	39.161095
6013	-122.046488	37.939191
6015	-124.16222	41.790957
6017	-120.686298	38.759669
6019	-119.771617	36.736249
6021	-122.17798	39.659153
6023	-124.084617	40.754794
6025	-115.526846	32.84903
6027	-118.271948	37.160859
6029	-118.922816	35.372319
6031	-119.732589	36.241578
6033	-122.740516	38.976995
6035	-120.590325	40.438343
6037	-118.241221	34.059239
6039	-119.995904	37.048172
6041	-122.547128	37.985165
6043	-119.939601	37.525687
6045	-123.397378	39.280046
6047	-120.626134	37.281508
6049	-120.684721	41.534201
6051	-119.002505	37.793168
6053	-121.66131	36.619779
6055	-122.326649	38.340449
6057	-120.91541	39.219439
6059	-117.866552	33.736025
6061	-121.141664	38.853135
6063	-120.831693	39.990907
6065	-117.054503	33.809707
6067	-121.378715	38.57436
6069	-121.40105	36.841889
6071	-117.352332	34.181384
6073	-117.113663	32.883876
6075	-122.43924	37.759381
6077	-121.291623	37.941513
6079	-120.671035	35.341428
6081	-122.341161	37.563309
6083	-120.072957	34.623538
6085	-121.910602	37.315085
6087	-121.938746	36.987304
6089	-122.293119	40.586688
6091	-120.435218	39.609537
6093	-122.483506	41.573546
6095	-122.07253	38.233231
6097	-122.721488	38.413019
6099	-120.959434	37.623951
6101	-121.64364	39.133137
6103	-122.22902	40.107128
6105	-123.059644	40.678654
6107	-119.226403	36.248002
6109	-120.322513	37.974803
6111	-119.026267	34.242621
6113	-121.7341	38.602984
6115	-121.486326	39.154437
8001	-104.945588	39.866651
8003	-105.876208	37.48465
8005	-104.861157	39.649924
8007	-107.068876	37.227461
8009	-102.514	37.368248
8011	-103.153899	38.077434
8013	-105.179956	40.052115
8014	-105.055933	39.929375
8015	-106.079356	38.675115
8017	-102.456508	38.821546
8019	-105.538761	39.71407
8021	-105.995023	37.196052
8023	-105.45701	37.276973
8025	-103.838331	38.215272
8027	-105.38962	38.122626
8029	-107.902915	38.804222
8031	-104.964881	39.719527
8033	-108.772355	37.744102
8035	-104.885509	39.492619
8037	-106.698663	39.595054
8039	-104.518808	39.372283
8041	-104.765815	38.868394
8043	-105.206991	38.42549
8045	-107.538801	39.508728
8047	-105.475747	39.854249
8049	-106.001164	40.063427
8051	-106.953174	38.649055
8053	-107.301667	37.959692
8055	-104.873539	37.615053
8057	-106.294302	40.689996
8059	-105.128321	39.722255
8061	-102.710544	38.466099
8063	-102.457075	39.31041
8065	-106.307254	39.243201
8067	-107.813533	37.26553
8069	-105.109915	40.504948
8071	-104.515583	37.193431
8073	-103.60145	39.182185
8075	-103.182031	40.641793
8077	-108.535924	39.090882
8079	-106.923168	37.768077
8081	-107.622021	40.517287
8083	-108.553959	37.372834
8085	-107.956301	38.476678
8087	-103.778319	40.25561
8089	-103.658476	38.0253
8091	-107.752478	38.13711
8093	-105.582633	39.331849
8095	-102.391378	40.602089
8097	-106.908516	39.234298
8099	-102.540647	38.082859
8101	-104.636566	38.25748
8103	-108.269849	40.049911
8105	-106.249822	37.617326
8107	-106.902685	40.454861
8109	-106.061443	37.887437
8111	-107.665012	37.810978
8113	-107.955675	37.962397
8115	-102.32265	40.958217
8117	-106.049992	39.575123
8119	-105.132617	38.945033
8121	-103.162186	40.089902
8123	-104.76146	40.346042
8125	-102.482997	40.060749
9001	-73.36604	41.208537
9003	-72.717694	41.762046
9005	-73.191377	41.726636
9007	-72.568149	41.475213
9009	-72.940803	41.394875
9011	-72.096863	41.440972
9013	-72.373819	41.84329
9015	-71.991819	41.806787
10001	-75.556542	39.1179
10003	-75.630718	39.696501
10005	-75.352504	38.657625
