id	year	month	day	x	y	pm25
10270001	2009	12	21	-85.802182	33.281261	10.7
10270001	2009	12	24	-85.802182	33.281261	8.5
10270001	2009	12	27	-85.802182	33.281261	4.9
10270001	2009	12	30	-85.802182	33.281261	8.7
10331002	2009	1	1	-87.650556	34.760556	5.2
10331002	2009	1	4	-87.650556	34.760556	6.7
10331002	2009	1	7	-87.650556	34.760556	3.8
10331002	2009	1	10	-87.650556	34.760556	12.9
10331002	2009	1	13	-87.650556	34.760556	9.5
10331002	2009	1	16	-87.650556	34.760556	6.0
10331002	2009	1	19	-87.650556	34.760556	7.3
10331002	2009	1	22	-87.650556	34.760556	13.6
10331002	2009	1	25	-87.650556	34.760556	16.0
10331002	2009	1	28	-87.650556	34.760556	7.1
10331002	2009	1	31	-87.650556	34.760556	6.2
10331002	2009	2	3	-87.650556	34.760556	4.7
